Timecode List:,00:00:13.280,00:00:19.186,00:00:33.767,00:00:52.753,00:01:05.098,00:01:22.482,00:01:34.194,00:01:47.441,00:02:39.393,00:02:58.111,00:03:43.223,00:04:27.868,00:06:37.664,00:07:27.881,00:08:43.223,00:08:50.897,00:10:15.381,00:12:00.019,00:12:20.907,00:16:50.576,00:18:02.415,00:18:28.841
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,398,00:00:13.280,13.280,398,00:00:13.280,13.280
2,399,00:00:13.280,13.280,575,00:00:19.186,19.186,177,00:00:05.906,5.906
3,576,00:00:19.186,19.186,1012,00:00:33.767,33.767,437,00:00:14.581,14.581
4,1013,00:00:33.767,33.767,1581,00:00:52.753,52.753,569,00:00:18.986,18.986
5,1582,00:00:52.753,52.753,1951,00:01:05.098,65.098,370,00:00:12.346,12.346
6,1952,00:01:05.098,65.098,2472,00:01:22.482,82.482,521,00:00:17.384,17.384
7,2473,00:01:22.482,82.482,2823,00:01:34.194,94.194,351,00:00:11.712,11.712
8,2824,00:01:34.194,94.194,3220,00:01:47.441,107.441,397,00:00:13.247,13.247
9,3221,00:01:47.441,107.441,4777,00:02:39.393,159.393,1557,00:00:51.952,51.952
10,4778,00:02:39.393,159.393,5338,00:02:58.111,178.111,561,00:00:18.719,18.719
11,5339,00:02:58.111,178.111,6690,00:03:43.223,223.223,1352,00:00:45.112,45.112
12,6691,00:03:43.223,223.223,8028,00:04:27.868,267.868,1338,00:00:44.645,44.645
13,8029,00:04:27.868,267.868,11918,00:06:37.664,397.664,3890,00:02:09.796,129.796
14,11919,00:06:37.664,397.664,13423,00:07:27.881,447.881,1505,00:00:50.217,50.217
15,13424,00:07:27.881,447.881,15681,00:08:43.223,523.223,2258,00:01:15.342,75.342
16,15682,00:08:43.223,523.223,15911,00:08:50.897,530.897,230,00:00:07.674,7.674
17,15912,00:08:50.897,530.897,18443,00:10:15.381,615.381,2532,00:01:24.484,84.484
18,18444,00:10:15.381,615.381,21579,00:12:00.019,720.019,3136,00:01:44.638,104.638
19,21580,00:12:00.019,720.019,22205,00:12:20.907,740.907,626,00:00:20.888,20.888
20,22206,00:12:20.907,740.907,30287,00:16:50.576,1010.576,8082,00:04:29.669,269.669
21,30288,00:16:50.576,1010.576,32440,00:18:02.415,1082.415,2153,00:01:11.838,71.838
22,32441,00:18:02.415,1082.415,33232,00:18:28.841,1108.841,792,00:00:26.426,26.426
23,33233,00:18:28.841,1108.841,33530,00:18:38.784,1118.784,298,00:00:09.943,9.943
